Document_ID,Topic,Text,Top_Keywords
10,29,台风 杜苏芮 带来 大到暴雨 河北省 水利厅 水旱灾害 防御 应急 响应 工作 规程 水利厅 决定 今天 针对 全省 水利 系统启动 洪水 防御 应急 响应 据预测 今年 台风 杜苏芮 福建 广东 附近 登陆 随后 西北 方向 移动 受其 登陆 影响 日至 河北 大部 大到暴雨 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 本次 台风 具有 强度 水汽 量足 影响 范围广 持续时间 特点 水利厅 要求 各地 单位 高度重视 进一步 压实 防御 责任 加强 值班 值守 密切 关注 雨水 强化 监测 预报 预警 做好 水库 闸涵 工程 科学 调度 落实 各项 防御 措施 加大 防洪工程 巡查 力度 提早 转移 威胁 群众 险情 及早 处置 确保安全 度汛 河北 日报,"洪水, 应急, 防御, 工作, 做好"
11,29,台风 杜苏芮 带来 大到暴雨 河北省 水利厅 水旱灾害 防御 应急 响应 工作 规程 水利厅 决定 今天 针对 全省 水利 系统启动 洪水 防御 应急 响应 据预测 今年 台风 杜苏芮 福建 广东 附近 登陆 随后 西北 方向 移动 受其 登陆 影响 日至 河北 大部 大到暴雨 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 本次 台风 具有 强度 水汽 量足 影响 范围广 持续时间 特点 水利厅 要求 各地 单位 高度重视 进一步 压实 防御 责任 加强 值班 值守 密切 关注 雨水 强化 监测 预报 预警 做好 水库 闸涵 工程 科学 调度 落实 各项 防御 措施 加大 防洪工程 巡查 力度 提早 转移 威胁 群众 险情 及早 处置 确保安全 度汛 河北 日报,"洪水, 应急, 防御, 工作, 做好"
12,2,预计 当前 房山 门头沟 昌平 东部 怀柔 密云 平谷 顺义 海淀 丰台 朝阳 石景山 西城 东城 大兴 通州 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 精准 天气预报 实时 天气 预警,"出现, 大暴雨, 山区, 夜间, 山洪"
13,-1,海淀,异常值
14,14,已经 预报,"预报, 思考, 单身, 话筒, 暴雨"
15,14,窗户 进屋 预报 允悲,"预报, 思考, 单身, 话筒, 暴雨"
16,17,延庆,"关注, 延庆, 现在, 多久, 顺义"
17,-1,延庆 哗哗 就算 编文 差点儿 意思,异常值
18,27,下雨 降温,"没下, 现在, 下雨, 别下, 台风"
19,27,大风,"没下, 现在, 下雨, 别下, 台风"
20,17,亦庄,"关注, 延庆, 现在, 多久, 顺义"
21,27,通州 没下,"没下, 现在, 下雨, 别下, 台风"
22,17,赶紧,"关注, 延庆, 现在, 多久, 顺义"
23,27,没下,"没下, 现在, 下雨, 别下, 台风"
24,33,预报 天气预报 预报 天气,"今天, 天气, 台风, 影响, 暴雨"
25,17,字数,"关注, 延庆, 现在, 多久, 顺义"
26,33,半天,"今天, 天气, 台风, 影响, 暴雨"
27,17,这得 多久,"关注, 延庆, 现在, 多久, 顺义"
28,27,啥时候 下班 回不去,"没下, 现在, 下雨, 别下, 台风"
29,-1,通州,异常值
30,27,昌平 嗷嗷 大泪,"没下, 现在, 下雨, 别下, 台风"
31,27,下雨 丰台 没下 允悲,"没下, 现在, 下雨, 别下, 台风"
32,35,北京 允悲,"北京, 洪水, 预警, 发布, 蓝色"
33,35,不算 北京,"北京, 洪水, 预警, 发布, 蓝色"
34,27,赶上 台风,"没下, 现在, 下雨, 别下, 台风"
35,17,延庆 没事,"关注, 延庆, 现在, 多久, 顺义"
36,-1,知道 剩下 区允悲,异常值
37,17,允悲,"关注, 延庆, 现在, 多久, 顺义"
38,17,延庆,"关注, 延庆, 现在, 多久, 顺义"
39,14,已经 预报,"预报, 思考, 单身, 话筒, 暴雨"
40,27,没下,"没下, 现在, 下雨, 别下, 台风"
41,2,防汛 提示 气象台 发布 暴雨 蓝色 预警 信号 预计 当前 房山 门头沟 昌平 东部 怀柔 密云 平谷 顺义 海淀 丰台 朝阳 石景山 西城 东城 大兴 通州 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 山区, 夜间, 山洪"
42,14,话筒 话筒 话筒,"预报, 思考, 单身, 话筒, 暴雨"
43,33,据说 台风 影响 几天 京津冀 大暴雨,"今天, 天气, 台风, 影响, 暴雨"
44,-1,希望 北京 有太大 影响 害怕 北京 大暴雨 允悲,异常值
45,33,关注 台风 影响 今天 专业人士 告诉 不确定性 大概 明晚 确定 下来 北京 影响,"今天, 天气, 台风, 影响, 暴雨"
46,-1,香山 雨大,异常值
47,17,顺义,"关注, 延庆, 现在, 多久, 顺义"
48,34,即将 横扫 中心 城区 注意 防雹,"城区, 地区, 防汛, 半夜, 地下"
49,13,石景山 已经 再次 路上,"山洪, 暴雨, 不要, 了解, 洪水"
50,19,顺义 南彩,"天气, 安全, 出行, 收好, 这份"
51,-1,河北,异常值
52,17,没错,"关注, 延庆, 现在, 多久, 顺义"
53,-1,延庆 海淀 一路 暴雨 吓死 昌平 海淀 知道 啥时候,异常值
54,27,朝阳区 估计 洗洗,"没下, 现在, 下雨, 别下, 台风"
55,26,来广营 没到,"注意安全, 安全, 话筒, 平安, 晚安"
56,33,天天 预警 全市 几个 站点 强降水 别跟我 夏天 本来 不好 专业性,"今天, 天气, 台风, 影响, 暴雨"
57,-1,春游 家族,异常值
58,19,南五环 风大 打闪 下雨,"天气, 安全, 出行, 收好, 这份"
59,-1,海淀 暴雨 现在 中雨,异常值
60,27,下雨 可大 祈祷 祈祷 祈祷,"没下, 现在, 下雨, 别下, 台风"
61,27,朝阳 崔各庄 不下,"没下, 现在, 下雨, 别下, 台风"
62,26,坐标 正阳 气氛 到位 允悲,"注意安全, 安全, 话筒, 平安, 晚安"
63,17,吓人,"关注, 延庆, 现在, 多久, 顺义"
64,17,持续 多久,"关注, 延庆, 现在, 多久, 顺义"
65,14,为啥 延庆,"预报, 思考, 单身, 话筒, 暴雨"
66,27,昌平 西部,"没下, 现在, 下雨, 别下, 台风"
67,2,暴雨 蓝色 预警 信号 北京市 气象台 发布 暴雨 蓝色 预警 信号 预计 当前 房山 门头沟 昌平 东部 怀柔 密云 平谷 顺义 海淀 丰台 朝阳 石景山 西城 东城 大兴 通州 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 山区, 夜间, 山洪"
68,0,北京 大兴 消防 超话 发布 雷电 黄色 预警 信号 气象台 发布 雷电 黄色 预警 信号 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"大暴雨, 出现, 暴雨, 西部, 山区"
69,2,防汛 提示 气象台 发布 暴雨 蓝色 预警 信号 预计 当前 房山 门头沟 昌平 东部 怀柔 密云 平谷 顺义 海淀 丰台 朝阳 石景山 西城 东城 大兴 通州 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范,"出现, 大暴雨, 山区, 夜间, 山洪"
70,2,北京市 气象局 消息 预计 当前 房山 门头沟 昌平 东部 怀柔 密云 平谷 顺义 海淀 丰台 朝阳 石景山 西城 东城 大兴 通州 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 防汛 提示 防汛 办已 启动 朝阳 海淀 丰台 石景山 通州 昌平区 防汛 蓝色 预警 响应 单位 做好 防汛 相关 工作,"出现, 大暴雨, 山区, 夜间, 山洪"
71,2,部分 区有 短时 强降雨 北京市 气象台 发布 雷电 黄色 预警 信号 发布 大风 黄色 预警 发布 暴雨 蓝色 预警 信号 预计 当前 房山 门头沟 昌平 东部 怀柔 密云 平谷 顺义 海淀 丰台 朝阳 石景山 西城 东城 大兴 通州 部分 地区 出现 小时 降雨量 毫米 以上 短时 强降水 山区 山区 出现 强降水 诱发 中小 河流 洪水 山洪 地质灾害 次生 灾害 风险 较大 城市 低洼地区 容易 出现 积水 注意 防范 北京日报,"出现, 大暴雨, 山区, 夜间, 山洪"
72,-1,国家 防总 应急 管理部 滚动 会商 部署 台风 杜苏芮 西南 强降雨 防范 应对 国家 防总 总指挥 应急 管理部 部长 王祥喜 同志 安排 部署 国家 防总 办公室 应急 管理部 持续 组织 防汛防台 专题 会商 调度 中国气象局 水利部 自然资源 会商 研判 台风 杜苏芮 发展 态势 连线 福建 广东 浙江 江西 四川 省份 防指 办公室 部署 加强 重点 地区 防汛防台 工作 应急 管理部 副部长 水利部 副部长 王道 主持 会商 会商 研判 台风 杜苏芮 具有 登陆 强度 影响 时间 范围广 雨量 北上 深入 内陆 不利因素 西南地区 降雨 持续 防汛防台 形势严峻 会商 强调 各地 部门 坚决 贯彻落实 习近平 总书记 防汛 救灾 工作 重要 指示精神 克服 麻痹思想 侥幸心理 树牢 底线 思维 极限 思维 进一步 压紧 压实 回港 避风 船只 上岸 避险 人员 安全 管理 隐患 排查 整改 各项 台风 防御 措施 细化 成都 大运会 重大 活动 防洪 保安 措施 落实 预警 应急 响应 联动 人员 转移 避险 险情 灾情 应急 处置 强降雨 防御 准备 严肃 防汛 纪律 强化 应急 响应 期间 责任 落实 值班 值守 信息 报送 工作 国家 防总 办公室 日向 北京 天津 河北 山西 江苏 浙江 安徽 福建 江西 山东 河南 湖北 广东省 防汛 抗旱 指挥部 相关 流域 防汛 抗旱 总指挥部 印发 通知 部署 做好 台风 杜苏芮 暴雨 洪水 防御 工作 国家 防总 针对 福建 广东 浙江 江西 省份 维持 防汛防台 三级 应急 响应 针对 西南地区 维持 防汛 四级 应急 响应 派出 工作组 重点 地区 协助 做好 防汛防台 工作 应急 管理部,异常值
73,29,河北省 水利厅 水旱灾害 防御 应急 响应 工作 规程 水利厅 决定 今天 针对 全省 水利 系统启动 洪水 防御 应急 响应 据预测 今年 台风 杜苏芮 福建 广东 附近 登陆 随后 西北 方向 移动 受其 登陆 影响 日至 河北 大部 大到暴雨 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 本次 台风 具有 强度 水汽 量足 影响 范围广 持续时间 特点 水利厅 要求 各地 单位 高度重视 进一步 压实 防御 责任 加强 值班 值守 密切 关注 雨水 强化 监测 预报 预警 做好 水库 闸涵 工程 科学 调度 落实 各项 防御 措施 加大 防洪工程 巡查 力度 提早 转移 威胁 群众 险情 及早 处置 确保安全 度汛 河北 日报 苑立立,"洪水, 应急, 防御, 工作, 做好"
74,28,国家 发改委 入夏 以来 全国 调度 发电量 三创 历史 新高 截至 目前 全国 电力 运行 平稳 有序 进一步 完善 电价 政策 市场机制 国家 能源 电源 投产 情况 基本 符合 电力 供需 预期 要求 截至 南水北调 中线 工程 北京 输水 亿立方米 水质 始终 稳定 地表水 环境 质量标准 以上 北京市 直接 受益 人口 超过 万人 第六届 博会 国家 综合 展将 恢复 线下 举办 设立 主宾 中国馆 升级 扩容 平方米 规模 达到 历届 水利部 滚动 安排 部署 台风 杜苏芮 暴雨 洪水 防御 工作 杜苏芮 闽粤 沿海 登陆 西南地区 强降雨 登陆 深入 内陆 河北 河南 山东 或现 明显 降雨,"毫米, 应急, 做好, 防汛, 组织"
75,33,天津 洪水 回家,"今天, 天气, 台风, 影响, 暴雨"
76,33,半夜 睡醒 廊坊 天气 大雨 暴雨 有点 害怕 为啥 回家 两天 赶上 暴雨 廊坊 排水系统 真是 堪忧,"今天, 天气, 台风, 影响, 暴雨"
77,36,河北 河流 可能 发生 洪水 台风 杜苏芮 影响 日至 河北 局地 大暴雨 三河 永定河 大清河 子牙河 漳卫河 河系 可能 发生 洪水 河北省 启动 洪水 防御 应急 响应,"洪水, 流域, 预警, 蓝色, 永定河"
78,-1,重大新闻 国务院 积极 推进 深层次 领域 对外开放 国务院 总理 日至 上海市 调研 自贸 试验区 建设 李强 强调 积极 推进 深层次 领域 对外开放 努力 打造 开放型 功能 平台 产业 生态 营商 环境 方面 取得 更大 进展 临港 跨境 数据 公司 李强 指出 数据 跨境 流动 管理 当前 各方 十分 关切 问题 希望 企业 积极探索 国家 完善 相关 制度 供给 积累 实践经验 外企 中国 发展 相互 成就 外企 中国 发展 故事 吸引 外企 深耕 中国 市场 李强 详细 了解 企业 推进 智能 制造 制造 情况 表示 外企 中国 发展 相互 成就 外企 中国 发展 故事 吸引 外企 深耕 中国 市场 央视网 建部 继续 巩固 房地产 市场 企稳 回升 态势 近日 住房 城乡 建设部 倪虹 部长 召开 企业 座谈会 建筑业 高质量 发展 房地产 市场 平稳 健康 发展 企业 进行 深入 交流 倪虹 强调 稳住 建筑业 房地产业 两根 支柱 推动 经济 回升 具有 重要 作用 工业化 数字化 绿色 化为 方向 大力 推动 建筑业 持续 健康 发展 充分发挥 建筑业 投资 增长 就业 积极 作用 继续 巩固 房地产 市场 企稳 回升 态势 大力支持 刚性 改善 住房 需求 进一步 落实 降低 购买 首套 住房 首付 比例 贷款 利率 改善 住房 换购 税费 减免 个人 住房贷款 认房 不用 认贷 政策措施 继续 做好 保交楼 工作 加快 项目 建设 交付 切实 保障 人民 群众 合法权益 新华网 水利部 水旱灾害 防御 应急 响应 提升 至级 水利部 日汛 旱情 通报 显示 预报 今年 台风 杜苏芮 强台风 早晨 上午 福建 东山 莆田 一带 沿海 登陆 受其 影响 福建 大部 广东 东部 先后 出现 大到暴雨 部分 地区 大暴雨 暴雨 区内 部分 河流 可能 发生 超警 以上 洪水 山丘区 山洪 灾害 风险 较大 依据 水利部 水旱灾害 防御 应急 响应 工作 规程 水利部 针对 福建 广东 水旱灾害 防御 应急 响应 提升 至级 两省 水利厅 水利部 珠江 水利 委员会 太湖流域 管理局 发出通知 要求 密切 关注 雨情 水情 汛情 强化 监测 预警 会商 研判 切实做好 各项 防御 工作 确保 人民 群众 生命财产 安全 新华社 报告 上半年 中国 游戏 市场 收入 环比 增长 中国 游戏 产业 报告 显示 上半年 中国 游戏 市场 实际 销售收入 亿元 环比 增长 中国 游戏 用户 同比 增长 中国 自主 研发 游戏 海外 市场 实际 销售收入 亿美元 同比 下降 中国 移动游戏 市场 实际 销售收入 亿元 环比 增长 中国 电子竞技 游戏 市场 实际 销售收入 亿元 同比 增长 省份 经济 半年报 出炉 半数 全国 增速 证券日报 国家统计局 发布 经济 半年报 各省市 自治区 陆续 公布 成绩单 截至 统计 已有 个省 自治区 直辖市 公布 上半年 经济 增速 实现 增长 省份 地区 生产总值 增速 全国 水平 北京 四川 全国 增速 持平 光大银行 金融市场 宏观 研究员 周茂华 表示 上半年 半数 省份 增速 全国 平均水平 反映 国内 经济 呈现 稳步 复苏 态势 区域 经济 增长 平衡 问题 仍然 存在 下半年 我国 经济 面临 不少 困难 宏观政策 加力 提效 企业 居民 信心 恢复 房地产 企稳 回暖 外贸 保持 韧性 国内 复苏 动能 有望 逐步 增强 国有 存量 房贷利率 按兵不动 业界 建言 银行 总行 出台 具体 方案 证券日报 中国人民银行 存量 房贷 相关 政策 表态 个人 房贷 市场 参与 各方对 利率 下调 贷款 置换 动态 颇为 关注 目前 来看 兴业银行 广州 分行 试点 年期 利率 优惠券 之外 国有 六大 行及 招商银行 浦发银行 多家 股份制 银行 暂无 动作 招联 首席 研究员 复旦大学 金融 研究院 兼职 研究员 董希淼 建议 市场 利率 定价 自律 机制 商定 银行 存量 房贷利率 调整 总体 原则 建议 各家 商业银行总行 出台 具体 方案 明确 直接 间接 条件 标准 流程 具备条件 地方 加大 支持 借款人 商业性 房贷 转换 公积金 贷款 进一步 降低 存量 房贷利率 成本 承压 叠加 供应 偏紧 多家 钛白粉 企业 发布 涨价 证券日报 进入 三季度 钛白粉 行业 再度 迎来 涨价 金浦 钛业 公告 近期 钛白粉 国际 国内 市场 情况 结合 公司 实际 公司 价格 委员会 研究 决定 日起 公司 金红石 钛白粉 销售价格 上调 元吨 国际 各类 客户 上调 美元 锐钛型 钛白粉 销售价格 上调 元吨 国际 各类 客户 上调 美元 事实上 金浦 钛业外 今年以来 多家 钛白粉 企业 持续 上调 价格 中核 钛白 公告 日起 全面 上调 公司 型号 钛白粉 销售价格 龙佰 集团 惠云钛业 今年 进行 三次 提价 隆众 资讯 钛白粉 分析师 王晓倩 表示 综合 来看 一周 原料 硫酸 价格上涨 厂家 成本 压力 较大 供应 偏紧 龙头企业 引领 十余家 企业 发函 宣涨 不少 下游 客户 出于 底价 考虑 提前 备货 签订 有所增加 部分 厂家 封单 市场 暂无 低价 货源 可寻 尿素 价格 淡季 不淡 企业 开工率 明显 回升 证券日报 当前 国内 尿素 市场 进入 传统 淡季 尿素 价格 中旬 以来 持续 上扬 出现 淡季 不淡 情况 隆众 资讯 尿素 行业 分析师 郭淑华 表示 截至 山东地区 中小 颗粒 尿素 主流 出厂价格 涨至 元吨 元吨 均价 月初 上涨 元吨 涨幅 尿素 价格上涨 提振 尿素 复合肥 生产 企业 积极 开工 据隆众 资讯 统计 截至 目前 国内 尿素 行业 日产量 万吨 开工率 去年同期 回升 复合肥 生产 企业 开工率 月初 提升 百分点 同比 提升 百分点,异常值
79,14,单身 单身 单身,"预报, 思考, 单身, 话筒, 暴雨"
80,-1,南和区 城区 道路 现状 邢台 南和县 公安局 邢台 星君,异常值
81,29,保定市 气象局 发布 重要 气象 专报 日至 我市 大暴雨 局部 大暴雨 今年 第五号 台风 杜苏芮 减弱 低压 影响 预计 日至 我市 大暴雨 毫米 以上 局部 大暴雨 毫米 以上 主要 降水 时段 夜间 夜间 最大 雨强 毫米 小时 个别 地点 可达 毫米 小时 以上 预计 过程 累计 雨量 西部 山区 毫米 中东部 地区 毫米 北部 地区 局地 毫米 个别 地点 毫米 以上 日有 东风 局地 可达 以上 关注 建议 本次 降雨 过程 持续时间 累计 雨量 影响 范围广 伴有 雷电 短时 强降水 短时 大风 强对流 天气 注意 防范 山区 中小 河流 洪水 山洪 地质灾害 气象 风险 等级 重点 防范 加强 城市 内涝 防范 提前 做好 排水 设施 准备 管道 清理 工作 降低 强降水 市内 交通 影响 市民 外出 注意 涉水 路段 通行 安全 台风 杜苏芮 登陆 移动 路径 存在 一定 不确定性 气象部门 密切 监视 天气 变化 做好 后续 订正 预报 跟踪服务,"洪水, 应急, 防御, 工作, 做好"
